Item1, Item2, Item3, Item4, Item5, Item6, Item7, Item8, Item9, Item10,
John Doe, first name, name,
Doe, last name,
John, preferred name,
jdoe123@gmail.com, email,
909 876 5678,phone, 
500 Euclid Ave, address line 1, street address,
Los Angeles, city,
California, state,
United States, country,
Canada, nationality,
No Followers, followed by,
None, service advisor,
42, original estimate,
this is the answer for description, description,
Robert Smith, captain,
Answer for Fax, Fax,
Answer for first name, first name,
Answer for last name, last name,
Answer for prefered name, prefered name,
Answer for email, email,
Answer for address line 1, address line 1, street address,
Answer for city, city,
Answer for state, state,
Answer for country, country,
Answer for nationality, nationality,
Answer for followed by, followed by,
Answer for service advisor, service advisor,
Answer for original estimate, original estimate,
Answer for description, description,
Answer for captain, captain,
Answer for Fax, Fax,
Answer for License No, license no,
Answer for Labor Rate, labor rate,
Answer for Stock No, stock no,
Answer for Stock No, stock no,
Answer for YearMakeModel, yearmakemodel,
Answer for YearMakeModel, yearmakemodel,
Answer for Delivery Date, delivery date,
Answer for Delivery Miles, delivery miles,
Answer for Delivery Miles, delivery miles,
Answer for Vehicle ID No, vehicle id no,
Answer for Selling Dealer No, selling dealer no,
Answer for Production Date, production date,
Answer for FTE NO, fte no,
Answer for PO No, po no,
Answer for PO No, po no,
Answer for RO Date, ro date,
Answer for Residence Phone, residence phone,
Answer for Business Phone, business phone,
Answer for Comments, comments,
Answer for Labor and Parts, labor and parts,
Answer for Labor and Parts, labor and parts,
Answer for EPA, epa,
Answer for BAR, bar,
Answer for BAR, bar,
Answer for Customer NO, customer no,
Answer for Customer NO, customer no,
Answer for VIN, vin,
Answer for VIN, vin,
Answer for License No, license no,
Answer for License No, license no,
Answer for Mileage In  Out, mileage in  out,
Answer for Mileage In  Out, mileage in  out,
Answer for TAG, tag,
Answer for DEL Date, del date,
Answer for DEL Date, del date,
Answer for Prod Date, prod date,
Answer for Prod Date, prod date,
Answer for Warr EXP, warr exp,
Answer for Warr EXP, warr exp,
Answer for Promised, promised,
Answer for Promised, promised,
Answer for PO NO, po no,
Answer for PO NO, po no,
Answer for RATE, rate,
Answer for RATE, rate,
Answer for PAYMENT, payment,
Answer for PAYMENT, payment,
Answer for INV DATE, inv date,
Answer for INV DATE, inv date,
Answer for Year, year,
Answer for Year, year,
Answer for MakeModel, makemodel,
Answer for MakeModel, makemodel,
Answer for RO Opened, ro opened,
Answer for RO Opened, ro opened,
Answer for Ready, ready,
Answer for Ready, ready,
Answer for Options, options,
Answer for Options, options,
Answer for Line, line,
Answer for Line, line,
Answer for Opcode, opcode,
Answer for Opcode, opcode,
Answer for Tech, tech,
Answer for Tech, tech,
Answer for Type, type,
Answer for Type, type,
Answer for Hours, hours,
Answer for Hours, hours,
Answer for List, list,
Answer for List, list,
Answer for Net, net,
Answer for Net, net,
Answer for Total, total,
Answer for Total, total,
Answer for Mileage, mileage,
Answer for Mileage, mileage,
Answer for Invoice Date, invoice date,
Answer for Invoice Date, invoice date,
Answer for Invoice No, invoice no,
Answer for Invoice No, invoice no,
Answer for MaintenanceDiag, maintenancediag,
Answer for MaintenanceDiag, maintenancediag,
Answer for TECHS, techs,
Answer for TECHS, techs,
Answer for Warranty, warranty,
Answer for Warranty, warranty,
Answer for Total Labor, total labor,
Answer for Total Labor, total labor,
Answer for Total Parts, total parts,
Answer for Total Parts, total parts,
Answer for Total Sublet, total sublet,
Answer for Total Sublet, total sublet,
Answer for Total GOG, total gog,
Answer for Total GOG, total gog,
Answer for Total Misc, total misc,
Answer for Total Misc, total misc,
Answer for Total Tax, total tax,
Answer for Total Tax, total tax,
Answer for Total Charge, total charge,
Answer for Total Charge, total charge,
Answer for Cash Due, cash due,
Answer for Cash Due, cash due,
Answer for Last Serv Mileage, last serv mileage,
Answer for Last Serv Mileage, last serv mileage,
Answer for Last Serv, last serv,
Answer for Last Serv, last serv,
Answer for RO, ro,
Answer for RO, ro,
Answer for N, n,
Answer for N, n,
Answer for ODOM, odom,
Answer for ODOM, odom,
Answer for ADV, adv,
Answer for ADV, adv,
Answer for PTS, pts,
Answer for PTS, pts,
Answer for POL, pol,
Answer for POL, pol,
Answer for Client, client,
Answer for Client, client,
Answer for INV, inv,
Answer for INV, inv,
Answer for TOT, tot,
Answer for TOT, tot,
Answer for Model, model,
Answer for Model, model,
Answer for VIN, vin,
Answer for VIN, vin,
Answer for Date, date,
Answer for Date, date,
Answer for AR Number, ar number,
Answer for AR Number, ar number,
Answer for Customer Number, customer number,
Answer for Customer Number, customer number,
Answer for Service Writer, service writer,
Answer for Service Writer, service writer,
Answer for Type of Sale, type of sale,
Answer for Type of Sale, type of sale,
Answer for Printed, printed,
Answer for Printed, printed,
Answer for Date Opened, date opened,
Answer for Date Opened, date opened,
Answer for Date Completed, date completed,
Answer for Date Completed, date completed,
Answer for Date Delivered, date delivered,
Answer for Date Delivered, date delivered,
Answer for Mileage In, mileage in,
Answer for Mileage In, mileage in,
Answer for Mileage Out, mileage out,
Answer for Mileage Out, mileage out,
Answer for Description, description,
Answer for Description, description,
Answer for QTY Ord, qty ord,
Answer for QTY Ord, qty ord,
Answer for QTY Del, qty del,
Answer for QTY Del, qty del,
Answer for Price, price,
Answer for Price, price,
Answer for Ext Total, ext total,
Answer for Ext Total, ext total,
Answer for Original Estimate, original estimate,
Answer for Original Estimate, original estimate,
Answer for EPA, epa,
Answer for EPA, epa,
Answer for Residence Phone, residence phone,
Answer for Residence Phone, residence phone,
Answer for MO, mo,
Answer for MO, mo,
Answer for Service Advisor, service advisor,
Answer for Service Advisor, service advisor,
Answer for Home, home,
Answer for Home, home,
Answer for CONT, cont,
Answer for CONT, cont,
Answer for CELL, cell,
Answer for CELL, cell,
Answer for BUS, bus,
Answer for BUS, bus,
Answer for Booked, booked,
Answer for Booked, booked,
Answer for Customer, customer,
Answer for Customer, customer,
Answer for Service Consultants, service consultants,
Answer for Service Consultants, service consultants,
Answer for The date of this lease is, the date of this lease is,
Answer for The date of this lease is, the date of this lease is,
Answer for The scheduled term of this lease is, the scheduled term of this lease is,
Answer for The scheduled term of this lease is, the scheduled term of this lease is,
Answer for The scheduled date this lease ends is, the scheduled date this lease ends is,
Answer for The scheduled date this lease ends is, the scheduled date this lease ends is,
Answer for Lessor Dealer, lessor dealer,
Answer for Lessor Dealer, lessor dealer,
Answer for Address, address,
Answer for Address, address,
Answer for Lessee, lessee,
Answer for Lessee, lessee,
Answer for CoLessee, colessee,
Answer for CoLessee, colessee,
Answer for Standard Lease, standard lease,
Answer for Standard Lease, standard lease,
Answer for Single Payment Lease, single payment lease,
Answer for Single Payment Lease, single payment lease,
Answer for Body Style, body style,
Answer for Body Style, body style,
Answer for Odometer Reading, odometer reading,
Answer for Odometer Reading, odometer reading,
Answer for Amount due at lease signing or Delivery, amount due at lease signing or delivery,
Answer for Amount due at lease signing or Delivery, amount due at lease signing or delivery,
Answer for First Monthly payment of, first monthly payment of,
